12:39:51.001 [main] INFO  c.m.i.IoTDeviceServiceApplication - Starting IoTDeviceServiceApplication on macbook-gibeon.ecs.soton.ac.uk with PID 28500 (/Users/gibeon/git/MicroThingsExperiment1/iotdeviceservice/bin/main started by gibeon in /Users/gibeon/git/MicroThingsExperiment1/iotdeviceservice)
12:39:51.252 [main] INFO  c.m.i.IoTDeviceServiceApplication - No active profile set, falling back to default profiles: default
12:39:51.955 [main] INFO  c.m.i.IoTDeviceServiceApplication - Starting IoTDeviceServiceApplication on macbook-gibeon.ecs.soton.ac.uk with PID 28501 (/Users/gibeon/git/MicroThingsExperiment1/iotdeviceservice/bin/main started by gibeon in /Users/gibeon/git/MicroThingsExperiment1/iotdeviceservice)
12:39:52.086 [main] INFO  c.m.i.IoTDeviceServiceApplication - No active profile set, falling back to default profiles: default
12:39:57.094 [main] INFO  c.m.i.IoTDeviceServiceApplication - Starting IoTDeviceServiceApplication on macbook-gibeon.ecs.soton.ac.uk with PID 28503 (/Users/gibeon/git/MicroThingsExperiment1/iotdeviceservice/bin/main started by gibeon in /Users/gibeon/git/MicroThingsExperiment1/iotdeviceservice)
12:39:57.110 [main] INFO  c.m.i.IoTDeviceServiceApplication - No active profile set, falling back to default profiles: default
12:40:04.425 [main] INFO  c.m.i.IoTDeviceServiceApplication - Started IoTDeviceServiceApplication in 15.457 seconds (JVM running for 17.773)
12:40:14.765 [main] INFO  c.m.i.IoTDeviceServiceApplication - Starting IoTDeviceServiceApplication on macbook-gibeon.ecs.soton.ac.uk with PID 28513 (/Users/gibeon/git/MicroThingsExperiment1/iotdeviceservice/bin/main started by gibeon in /Users/gibeon/git/MicroThingsExperiment1/iotdeviceservice)
12:40:14.795 [main] INFO  c.m.i.IoTDeviceServiceApplication - No active profile set, falling back to default profiles: default
12:40:19.666 [main] INFO  c.m.i.IoTDeviceServiceApplication - Started IoTDeviceServiceApplication in 5.753 seconds (JVM running for 7.029)
12:40:20.144 [main] INFO  c.m.i.IoTDeviceServiceApplication - Starting IoTDeviceServiceApplication on macbook-gibeon.ecs.soton.ac.uk with PID 28517 (/Users/gibeon/git/MicroThingsExperiment1/iotdeviceservice/bin/main started by gibeon in /Users/gibeon/git/MicroThingsExperiment1/iotdeviceservice)
12:40:20.152 [main] INFO  c.m.i.IoTDeviceServiceApplication - No active profile set, falling back to default profiles: default
12:40:25.181 [main] INFO  c.m.i.IoTDeviceServiceApplication - Starting IoTDeviceServiceApplication on macbook-gibeon.ecs.soton.ac.uk with PID 28520 (/Users/gibeon/git/MicroThingsExperiment1/iotdeviceservice/bin/main started by gibeon in /Users/gibeon/git/MicroThingsExperiment1/iotdeviceservice)
12:40:25.188 [main] INFO  c.m.i.IoTDeviceServiceApplication - No active profile set, falling back to default profiles: default
12:40:27.216 [main] INFO  c.m.i.IoTDeviceServiceApplication - Started IoTDeviceServiceApplication in 7.953 seconds (JVM running for 9.607)
12:40:29.969 [main] INFO  c.m.i.IoTDeviceServiceApplication - Started IoTDeviceServiceApplication in 5.708 seconds (JVM running for 7.241)
12:45:39.410 [http-nio-8091-exec-1] INFO  c.m.i.rest.IoTDeviceController - Starting IoTDevice.Setup:[]
12:45:39.415 [http-nio-8091-exec-1] INFO  c.m.i.rest.IoTDeviceController - Finishing IoTDevice.Setup:[]
12:45:45.388 [http-nio-8092-exec-1] INFO  c.m.i.rest.IoTDeviceController - Starting IoTDevice.Setup:[]
12:45:45.395 [http-nio-8092-exec-1] INFO  c.m.i.rest.IoTDeviceController - Finishing IoTDevice.Setup:[]
12:45:46.355 [http-nio-8093-exec-1] INFO  c.m.i.rest.IoTDeviceController - Starting IoTDevice.Setup:[]
12:45:46.356 [http-nio-8093-exec-1] INFO  c.m.i.rest.IoTDeviceController - Finishing IoTDevice.Setup:[]
12:45:49.790 [http-nio-8091-exec-4] INFO  c.m.i.rest.IoTDeviceController - Starting:getDeviceData()
12:45:49.790 [http-nio-8091-exec-3] INFO  c.m.i.rest.IoTDeviceController - Starting:getDeviceData()
12:45:49.811 [http-nio-8091-exec-3] INFO  c.m.i.rest.IoTDeviceController - Returning:IoTDevice.getDeviceData():11.0
12:45:49.812 [http-nio-8091-exec-4] INFO  c.m.i.rest.IoTDeviceController - Returning:IoTDevice.getDeviceData():10.0
12:45:50.191 [http-nio-8091-exec-5] INFO  c.m.i.rest.IoTDeviceController - Starting:getDeviceData()
12:45:50.192 [http-nio-8091-exec-5] INFO  c.m.i.rest.IoTDeviceController - Returning:IoTDevice.getDeviceData():15.0
12:45:50.416 [http-nio-8092-exec-3] INFO  c.m.i.rest.IoTDeviceController - Starting:getDeviceData()
12:45:50.419 [http-nio-8092-exec-4] INFO  c.m.i.rest.IoTDeviceController - Starting:getDeviceData()
12:45:50.424 [http-nio-8092-exec-4] INFO  c.m.i.rest.IoTDeviceController - Returning:IoTDevice.getDeviceData():11.0
12:45:50.424 [http-nio-8092-exec-3] INFO  c.m.i.rest.IoTDeviceController - Returning:IoTDevice.getDeviceData():10.0
12:45:50.424 [http-nio-8092-exec-2] INFO  c.m.i.rest.IoTDeviceController - Starting:getDeviceData()
12:45:50.425 [http-nio-8092-exec-2] INFO  c.m.i.rest.IoTDeviceController - Returning:IoTDevice.getDeviceData():15.0
12:45:50.723 [http-nio-8091-exec-6] INFO  c.m.i.rest.IoTDeviceController - Starting:getDeviceData()
12:45:50.737 [http-nio-8091-exec-6] INFO  c.m.i.rest.IoTDeviceController - Returning:IoTDevice.getDeviceData():4.0
12:45:50.773 [http-nio-8093-exec-2] INFO  c.m.i.rest.IoTDeviceController - Starting:getDeviceData()
12:45:50.783 [http-nio-8093-exec-2] INFO  c.m.i.rest.IoTDeviceController - Returning:IoTDevice.getDeviceData():10.0
12:45:50.889 [http-nio-8093-exec-3] INFO  c.m.i.rest.IoTDeviceController - Starting:getDeviceData()
12:45:50.889 [http-nio-8093-exec-3] INFO  c.m.i.rest.IoTDeviceController - Returning:IoTDevice.getDeviceData():11.0
12:45:50.891 [http-nio-8092-exec-5] INFO  c.m.i.rest.IoTDeviceController - Starting:getDeviceData()
12:45:50.891 [http-nio-8093-exec-4] INFO  c.m.i.rest.IoTDeviceController - Starting:getDeviceData()
12:45:50.892 [http-nio-8092-exec-5] INFO  c.m.i.rest.IoTDeviceController - Returning:IoTDevice.getDeviceData():4.0
12:45:50.892 [http-nio-8093-exec-4] INFO  c.m.i.rest.IoTDeviceController - Returning:IoTDevice.getDeviceData():15.0
12:45:50.914 [http-nio-8093-exec-5] INFO  c.m.i.rest.IoTDeviceController - Starting:getDeviceData()
12:45:50.915 [http-nio-8093-exec-5] INFO  c.m.i.rest.IoTDeviceController - Returning:IoTDevice.getDeviceData():4.0
12:45:51.175 [http-nio-8091-exec-7] INFO  c.m.i.rest.IoTDeviceController - Starting:getDeviceData()
12:45:51.177 [http-nio-8091-exec-7] INFO  c.m.i.rest.IoTDeviceController - Returning:IoTDevice.getDeviceData():7.0
12:45:51.209 [http-nio-8092-exec-6] INFO  c.m.i.rest.IoTDeviceController - Starting:getDeviceData()
12:45:51.210 [http-nio-8092-exec-6] INFO  c.m.i.rest.IoTDeviceController - Returning:IoTDevice.getDeviceData():7.0
12:45:51.223 [http-nio-8093-exec-6] INFO  c.m.i.rest.IoTDeviceController - Starting:getDeviceData()
12:45:51.224 [http-nio-8093-exec-6] INFO  c.m.i.rest.IoTDeviceController - Returning:IoTDevice.getDeviceData():7.0
12:45:51.360 [http-nio-8091-exec-8] INFO  c.m.i.rest.IoTDeviceController - Starting:getDeviceData()
12:45:51.360 [http-nio-8091-exec-8] INFO  c.m.i.rest.IoTDeviceController - Returning:IoTDevice.getDeviceData():2.0
12:45:51.371 [http-nio-8092-exec-7] INFO  c.m.i.rest.IoTDeviceController - Starting:getDeviceData()
12:45:51.372 [http-nio-8092-exec-7] INFO  c.m.i.rest.IoTDeviceController - Returning:IoTDevice.getDeviceData():2.0
12:45:51.389 [http-nio-8093-exec-7] INFO  c.m.i.rest.IoTDeviceController - Starting:getDeviceData()
12:45:51.390 [http-nio-8093-exec-7] INFO  c.m.i.rest.IoTDeviceController - Returning:IoTDevice.getDeviceData():2.0
12:45:51.404 [http-nio-8091-exec-9] INFO  c.m.i.rest.IoTDeviceController - Starting:getDeviceData()
12:45:51.405 [http-nio-8091-exec-9] INFO  c.m.i.rest.IoTDeviceController - Returning:IoTDevice.getDeviceData():8.0
12:45:51.418 [http-nio-8092-exec-8] INFO  c.m.i.rest.IoTDeviceController - Starting:getDeviceData()
12:45:51.419 [http-nio-8092-exec-8] INFO  c.m.i.rest.IoTDeviceController - Returning:IoTDevice.getDeviceData():8.0
12:45:51.434 [http-nio-8093-exec-8] INFO  c.m.i.rest.IoTDeviceController - Starting:getDeviceData()
12:45:51.434 [http-nio-8093-exec-8] INFO  c.m.i.rest.IoTDeviceController - Returning:IoTDevice.getDeviceData():8.0
